Date,Category,Amount
01/04/2026,Revenue,3200.00
03/04/2026,Revenue,1850.00
05/04/2026,Ingredients,-9800.00
07/04/2026,Revenue,920.00
08/04/2026,Marketing,-750.00
10/04/2026,Revenue,2400.00
12/04/2026,Utilities,-1450.00
14/04/2026,Revenue,3100.00
15/04/2026,Staff costs,-19500.00
16/04/2026,Revenue,2200.00
18/04/2026,Revenue,2900.00
20/04/2026,Rent,-8500.00
21/04/2026,Revenue,1750.00
23/04/2026,Ingredients,-4200.00
24/04/2026,Revenue,1100.00
25/04/2026,Revenue,3400.00
26/04/2026,Marketing,-1200.00
28/04/2026,Revenue,2600.00
01/03/2026,Revenue,2900.00
05/03/2026,Ingredients,-8900.00
10/03/2026,Utilities,-1380.00
14/03/2026,Staff costs,-18800.00
15/03/2026,Revenue,2100.00
20/03/2026,Rent,-8500.00
22/03/2026,Revenue,980.00
25/03/2026,Revenue,3000.00
01/02/2026,Revenue,2700.00
05/02/2026,Ingredients,-8600.00
12/02/2026,Utilities,-1300.00
14/02/2026,Staff costs,-18200.00
15/02/2026,Revenue,1900.00
20/02/2026,Rent,-8500.00
25/02/2026,Revenue,2800.00
01/01/2026,Revenue,2500.00
05/01/2026,Ingredients,-8400.00
14/01/2026,Utilities,-1250.00
15/01/2026,Staff costs,-17900.00
18/01/2026,Revenue,1700.00
20/01/2026,Rent,-8500.00
25/01/2026,Revenue,2600.00
